Name,Economic Sector,2013,2014,2015,2016,2017,2018
800,Consumer Cyclicals,743.0,771.58,1137.82,825.84,1305.88,756.25
2686,Energy,,,4657.48,4158.47,3770.49,4272.1
1615,Industrials,,,,,,195.0
8131,Technology,68.65,86.72,161.39,112.01,49.68,39.14
1627,Industrials,,,,,1080.0,990.0
1283,Industrials,,,,,,
1870,Industrials,,,,,,
9919,Consumer Cyclicals,,,,,,
2623,Basic Materials,1398.49,1543.6,894.23,544.73,551.4,520.52
1163,Consumer Cyclicals,,,,,,
900,Financials,2985.8,2550.28,2173.39,2315.77,2646.6,2914.61
984,Consumer Cyclicals,2615.6,2392.0,1970.8,1838.2,1305.2,1094.6
8341,Industrials,,,,,540.0,540.0
1757,Industrials,,,,,,288.0
1466,Consumer Cyclicals,,322.25,391.49,1054.42,2090.64,1968.46
1131,Energy,469.36,2262.18,2524.74,2448.92,4807.99,8598.8
8279,Technology,5131.6,3996.34,9305.16,14895.02,13608.45,5467.08
8290,Technology,,,292.0,278.0,170.0,96.0
8088,Financials,303.8,1173.47,2275.83,1110.91,353.34,88.6
286,Healthcare,1602.65,1141.28,1765.45,1713.53,2067.42,1917.6
538,Consumer Cyclicals,8739.41,6450.92,3754.89,3449.26,4060.52,2390.47
1639,Technology,494.91,1263.96,898.6,631.98,2394.61,1630.53
8360,Consumer Cyclicals,,,,184.8,87.36,40.46
328,Technology,812.13,874.85,1477.39,1338.34,972.04,526.52
684,Consumer Cyclicals,801.68,741.31,640.68,630.61,714.47,543.4
56,Financials,9183.26,10611.63,10365.57,11785.1,10763.27,11580.74
8320,Industrials,,,,258.0,234.0,187.2
833,Technology,816.23,594.88,939.71,1461.22,2403.13,1116.42
8406,Consumer Cyclicals,,,,,220.0,126.4
948,Technology,472.87,160.16,160.16,160.16,108.38,129.2
8149,Real Estate,,,,316.0,264.0,240.0
1849,Technology,,,,,,
8168,Financials,,,,,,78.0
33,Industrials,239.57,311.21,832.59,1077.33,979.35,373.09
630,Industrials,253.99,139.45,620.89,1098.98,201.17,160.19
77,Industrials,292.74,292.74,345.96,387.2,356.21,255.6
8545,Consumer Cyclicals,,,,,,370.0
2300,Technology,3406.41,3087.18,2991.53,2582.75,1941.71,1662.99
8353,Technology,,,,215.55,287.39,219.54
1977,Industrials,,,,,,
1592,Basic Materials,,,,,,300.0
3337,Energy,10206.46,3693.43,1665.84,2657.22,2287.76,2342.28
922,Consumer Non-Cyclicals,1083.51,618.88,831.97,538.01,702.57,222.16
1370,Basic Materials,4146.57,3860.08,2774.43,4529.86,3237.95,3188.89
3662,Real Estate,,,,,,
1496,Industrials,,,,393.12,311.04,315.36
1104,Basic Materials,1001.35,765.97,799.67,983.51,1002.05,966.99
6036,Technology,,,,,,325.0
860,Consumer Cyclicals,698.56,711.01,294.21,907.15,9002.48,3193.92
519,Industrials,498.7,591.48,824.6,1732.7,1778.63,1240.03
1045,Technology,5720.62,6827.44,5838.77,3472.66,3174.05,2885.51
645,Energy,292.93,366.06,506.33,496.07,413.96,249.75
565,Real Estate,468.27,474.47,572.36,2335.95,1127.7,661.45
3313,Basic Materials,3400.0,2426.67,2106.67,1471.73,1886.95,1045.78
789,Technology,266.02,319.23,346.93,521.02,551.98,551.98
1120,Healthcare,721.26,1147.11,1150.95,1143.28,897.74,699.14
6855,Healthcare,,,,,,
1672,Healthcare,,,,,,7138.76
711,Industrials,550.74,1311.83,2150.22,1706.72,1687.98,1248.47
841,Consumer Non-Cyclicals,418.31,602.27,456.09,280.67,344.99,283.59
104,Consumer Cyclicals,262.44,338.44,300.84,335.31,344.71,309.46
351,Industrials,1139.85,1381.23,1600.0,673.95,234.97,143.83
662,Financials,3363.36,3414.32,3057.6,3639.94,4657.55,4233.33
8413,Consumer Non-Cyclicals,,,,,1313.06,195.22
214,Financials,1294.78,1371.25,1210.07,1648.11,1681.75,1227.68
