,Stock,Industry,IPO,MktCap,return_1year,IPO Year
175,1536,Industrials,2017-11-01,1.16,-0.03451995685005397,2017
176,1575,Consumer Cyclicals,2017-12-01,1.76,0.01709401709401711,2017
177,1518,Healthcare,2017-01-18,7.35,0.00686498855835246,2017
178,6068,Academic & Educational Services,2017-01-26,1.69,0.004514672686230353,2017
179,3789,Industrials,2017-08-02,0.305,0.0,2017
180,2266,Industrials,2017-06-28,2.08,-0.03225806451612906,2017
181,1660,Industrials,2017-10-02,0.065,0.008130081300813016,2017
182,1989,Healthcare,2017-02-15,0.92,0.009208103130755195,2017
183,1627,Industrials,2017-02-20,1.0,0.03598484848484839,2017
184,6169,Academic & Educational Services,2017-02-28,2.09,-0.001869158878504633,2017
185,1985,Technology,2017-08-03,1.43,0.00602409638554204,2017
186,3395,Energy,2017-10-03,1.77,-0.01775147928994071,2017
187,3869,Healthcare,2017-03-16,12.96,0.01807228915662639,2017
188,1569,Academic & Educational Services,2017-03-22,1.51,0.0,2017
189,1647,Industrials,2017-03-30,0.97,0.012987012987013,2017
190,2017,Industrials,2017-03-31,2.17,0.02631578947368423,2017
191,2281,Utilities,2017-03-31,2.27,0.01752021563342317,2017
192,1667,Consumer Cyclicals,2017-07-04,0.34,0.002684563758389204,2017
193,2001,Academic & Educational Services,2017-04-19,2.78,-0.02445172674565162,2017
194,1655,Consumer Cyclicals,2017-05-15,1.28,0.03750000000000003,2017
195,3329,Financials,2017-05-19,2.72,0.00602409638554204,2017
196,1679,Industrials,2017-09-06,2.49,-0.0285714285714286,2017
197,6038,Industrials,2017-06-13,0.455,-0.03508771929824565,2017
198,2269,Healthcare,2017-06-13,28.25,-0.008695652173913115,2017
199,1630,Consumer Cyclicals,2017-06-16,0.54,0.002873563218390871,2017
200,1551,Financials,2017-06-20,5.11,0.01268115942028991,2017
201,1571,Consumer Cyclicals,2017-06-28,3.23,-0.008064516129032265,2017
202,1702,Basic Materials,2017-11-07,1.93,0.05042016806722694,2017
203,1695,Consumer Non-Cyclicals,2017-11-07,0.31,-0.04918032786885251,2017
204,1962,Consumer Non-Cyclicals,2017-12-07,1.54,0.06896551724137938,2017
205,6113,Consumer Cyclicals,2017-12-07,1.51,-0.0169491525423729,2017
206,6088,Technology,2017-07-13,3.15,0.0,2017
207,1676,Consumer Non-Cyclicals,2017-07-18,13.2,0.0,2017
208,1649,Industrials,2017-07-18,1.58,-0.002695417789757355,2017
209,1216,Financials,2017-07-19,2.49,-0.01333333333333329,2017
210,3848,Financials,2017-07-21,6.88,-0.0093708165997323,2017
211,1693,Industrials,2017-09-08,0.74,0.02448979591836731,2017
212,2863,Industrials,2017-11-08,0.62,-0.01317957166392093,2017
213,1696,Healthcare,2017-09-19,8.12,-0.001249999999999973,2017
214,3830,Consumer Cyclicals,2017-09-21,0.396,0.01863354037267063,2017
215,1651,Industrials,2017-09-25,6.43,-0.02994011976047904,2017
216,6060,Financials,2017-09-28,65.2,0.0,2017
217,6885,Energy,2017-10-10,3.17,0.0,2017
218,2337,Energy,2017-10-16,3.04,0.0,2017
219,2225,Industrials,2017-10-17,0.55,0.03749999999999989,2017
220,6080,Industrials,2017-10-20,0.52,-0.00540540540540553,2017
221,1337,Technology,2017-11-13,4.58,0.006814310051107332,2017
222,1706,Industrials,2017-11-15,0.84,0.0138888888888889,2017
223,1975,Industrials,2017-11-16,1.39,0.0138888888888889,2017
224,3358,Consumer Cyclicals,2017-11-16,3.32,-0.01176470588235295,2017
225,2858,Financials,2017-11-16,8.12,0.01176470588235295,2017
226,1710,Industrials,2017-11-23,0.7,0.0,2017
227,2022,Technology,2017-12-15,0.68,0.0,2017
228,1727,Industrials,2017-12-15,4.46,0.0,2017
229,1722,Industrials,2017-12-15,0.405,0.0,2017
230,1789,Healthcare,2017-12-20,2.64,-0.01724137931034484,2017
231,3878,Industrials,2017-12-22,1.26,0.1133333333333333,2017
232,2708,Technology,2017-12-28,2.16,0.0,2017
233,2025,Consumer Cyclicals,2018-05-01,1.4,0.01190476190476192,2018
234,3309,Healthcare,2018-01-15,5.11,0.0,2018
235,2448,Industrials,2018-01-16,0.99,0.03244837758112091,2018
