,Type,RIC
3431,9595LH,nan
3432,K:ZHGH,2902
3433,92886Q,nan
3434,K:ZHOE,8597
3435,31504J,nan
3436,9299AE,nan
3437,9299CJ,nan
3438,779616,nan
3439,K:P&OS,nan
3440,9464A7,nan
3441,9531V9,nan
3442,K:TOMO,nan
3443,K:TRGC,8552
