,Type,RIC
940,K:DEXC,2019
941,K:BPOW,0991
942,K:DICK,0113
943,K:DFFG,6878
944,K:MANS,0547
945,K:DIGI,2022
946,K:CVMI,0705
947,K:COAI,0508
948,K:DRHL,8337
949,K:BLUX,0726
950,K:SEHL,1709
951,K:DLCA,8210
952,K:DGCL,1702
953,K:SDEN,0895
954,K:DCIL,0695
955,K:DNGY,0189
956,K:DOUM,1917
957,K:DOWW,8403
958,K:HKCM,0668
959,K:DCGH,0935
960,K:DKGP,8493
961,K:DRAM,1712
962,K:6829,6829
963,K:DREA,1126
964,K:ULTR,0593
965,K:ICUT,0356
966,K:UDLH,0620
967,K:DUIG,1753
968,K:DYNG,1330
969,K:DJHC,6889
970,K:DYNA,0029
971,K:DFWG,0828
972,K:EBON,0599
973,K:ELIG,8222
974,K:WIC,1733
975,K:MHC,0936
976,K:EGNC,2368
977,K:RADF,0901
978,K:EIHL,6128
979,K:LERO,0221
980,K:RBOW,8079
981,K:EASY,1218
982,K:EBRK,8036
983,K:EIHG,8218
984,K:ECIT,8013
985,K:ECOT,8169
986,K:ECOG,2341
987,K:EDEH,1147
988,K:EDIC,8450
989,K:DVNC,1410
990,K:EDGH,0382
991,K:KHLD,3709
992,K:EFTS,8062
993,K:EGG,8609
994,K:EGLH,6882
995,K:JMHL,8101
996,K:SEAU,0076
997,K:ELEP,8391
998,K:ELEG,0907
999,K:KENF,0223
1000,K:ELLE,1395
1001,K:EMBR,1388
1002,K:ACME,0616
1003,K:ECGL,0717
1004,K:EMPI,0296
1005,K:EMPR,0163
1006,K:EMPW,0887
1007,K:JLEY,0353
1008,K:ESST,0128
1009,K:TAII,1808
1010,K:SYSS,1102
1011,K:WALL,0689
1012,K:EPGR,1884
1013,K:ERNT,1856
1014,K:ESPR,0330
1015,K:ESSX,1061
1016,K:GLYN,0571
1017,K:OCSH,0764
1018,K:ETER,1725
1019,K:ETSG,8031
1020,K:EIEC,1846
1021,K:EVAP,0838
1022,K:EHGH,1549
1023,K:ERGH,3616
1024,K:EVRB,3699
1025,K:GAME,0202
1026,K:EIH,0238
1027,K:EPGL,1962
1028,K:ARGO,8022
1029,K:SZEV,2308
1030,K:EXCA,8350
1031,K:ESHL,8319
1032,K:EXPH,0858
1033,K:FENT,8347
1034,K:FAIR,0052
1035,K:FAMH,8603
1036,K:FANT,1777
1037,K:FARC,0035
1038,K:ATVH,0036
1039,K:FAHE,0037
1040,K:M21T,8153
1041,K:INNO,0729
1042,K:CHII,0378
1043,K:FSAT,1738
1044,K:FEIG,1901
1045,K:FEIY,1022
1046,K:FOXC,2038
1047,K:FISP,1502
1048,K:LAND,9978
1049,K:FINE,8317
1050,K:FING,6860
