,Instrument,IPO Date,Turnover,Relative Valuation EV/EBITDA Component,Outstanding Shares,TRBC Economic Sector Name
308,2122.HK,10/11/2017,43138,100,800000000,Consumer Cyclicals
309,1337.HK,13/11/2017,20373174,5,8921028033,Technology
310,1706.HK,15/11/2017,10945,93,1000000000,Industrials
311,1975.HK,16/11/2017,8026200,100,480000000,Industrials
312,3358.HK,16/11/2017,1537695,98,1058391000,Consumer Cyclicals
313,2858.HK,16/11/2017,7524725,,6374961548,Financials
314,1710.HK,23/11/2017,16096,100,1000000000,Industrials
315,1697.HK,8/12/2017,36792,,4658850000,Financials
316,2227.HK,11/12/2017,102792,1,915600000,Industrials
317,1475.HK,11/12/2017,15366025,50,1074319480,Consumer Non-Cyclicals
318,1417.HK,11/12/2017,19200,29,405000000,Real Estate
319,6090.HK,12/1/1995,7880,,840778624,Real Estate
320,0839.HK,15/12/2017,53621766,38,2150222000,Academic & Educational Services
321,2022.HK,15/12/2017,222580,,2000000000,Technology
322,1727.HK,15/12/2017,73159440,62,1761383500,Industrials
323,1722.HK,15/12/2017,45230,,1000000000,Industrials
324,1789.HK,20/12/2017,73085520,13,1113975000,Healthcare
325,3878.HK,22/12/2017,106040,96,400000000,Industrials
326,2708.HK,28/12/2017,9664100,34,421427509,Technology
327,0784.HK,28/12/2017,48440,57,800000000,Industrials
328,1730.HK,13/4/2015,89140,,402445400,Real Estate
329,3738.HK,4/1/2018,12833260,18,430089489,Technology
330,2025.HK,5/1/2018,,73,800000000,Consumer Cyclicals
331,3309.HK,15/1/2018,33920770,9,1143727977,Healthcare
332,3699.HK,16/1/2018,1000,100,441400000,Real Estate
333,2448.HK,16/1/2018,8141150,,760000000,Industrials
334,2292.HK,16/1/2018,,23,720000000,Real Estate
335,6158.HK,16/1/2018,15382680,63,4367756000,Real Estate
336,6182.HK,17/1/2018,,1,800000000,Basic Materials
337,2139.HK,18/1/2018,2232550,,10069791330,Financials
338,1665.HK,19/1/2018,1580960,71,1600000000,Technology
339,2683.HK,22/1/2018,44350,100,408626000,Consumer Cyclicals
340,1711.HK,29/1/2018,53820,100,800000000,Consumer Cyclicals
341,6829.HK,8/2/2018,117460,82,1200000000,Industrials
342,3319.HK,9/2/2018,123119919,43,1333334000,Real Estate
343,1183.HK,13/2/2018,4988840,,1196192000,Industrials
344,1729.HK,13/2/2018,176600,100,1840000000,Industrials
345,1933.HK,2/3/2018,30760,2,503927177,Technology
346,1621.HK,5/3/2018,7032,100,1000000000,Energy
347,2182.HK,8/3/2018,99780,100,620000000,Consumer Non-Cyclicals
348,1815.HK,13/3/2018,822370,90,1237875040,Consumer Cyclicals
349,1737.HK,14/3/2018,34550,100,1000000000,Industrials
350,1705.HK,14/3/2018,82080,99,400000000,Consumer Non-Cyclicals
351,6036.HK,16/3/2018,379975,42,1000000000,Technology
352,2377.HK,16/3/2018,2407390,95,1007106799,Industrials
353,2363.HK,16/3/2018,10880,,189115638,Technology
354,2779.HK,26/3/2018,1631630,82,1608583000,Academic & Educational Services
355,2116.HK,28/3/2018,2610,,480000000,Basic Materials
356,1716.HK,28/3/2018,313330,90,270000000,Consumer Cyclicals
357,1735.HK,29/3/2018,652720,5,1056000000,Industrials
358,1726.HK,18/4/2018,,95,800000000,Industrials
359,1671.HK,27/4/2018,13340,96,159920907,Utilities
360,1833.HK,4/5/2018,735055768,4,1067294200,Healthcare
361,1742.HK,11/5/2018,4250,100,1600000000,Industrials
362,1750.HK,11/5/2018,176660,98,1800000000,Industrials
363,1752.HK,11/5/2018,84550,52,2445738000,Academic & Educational Services
364,2119.HK,11/5/2018,199680,98,731313112,Consumer Non-Cyclicals
365,1598.HK,29/5/2018,527430,93,1167216000,Academic & Educational Services
366,1978.HK,30/5/2018,17970,100,800000000,Consumer Cyclicals
